step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
99,649.81,0.0,0.0002,0.0,0.0,1.0,18.0,4.027992248535156,5.340362071990967,,
100,654.7,0.0,0.0002,0.0,0.0,1.0,28.5,4.281594514846802,5.207960844039917,31.375932693481445,0.0
101,662.72,0.0,0.0002,0.0,0.0,1.0,51.0,8.446368217468262,8.083681106567383,,
102,666.09,0.0,0.0002,0.0,0.0,1.0,17.5,4.023686647415161,5.223377466201782,,
103,667.58,0.0,0.0002,0.0,0.0,1.0,4.0,0.02145981788635254,2.4659767150878906,,
104,669.06,0.0,0.0002,0.0,0.0,1.0,4.0,0.015751123428344727,2.464611768722534,,
105,679.16,0.0,0.0002,0.0,0.0,1.0,65.5,7.421376466751099,7.264946699142456,31.39246940612793,
106,680.64,0.0,0.0002,0.0,0.0,1.0,4.0,0.012979507446289062,2.521049737930298,,
107,682.13,0.0,0.0002,0.0,0.0,1.0,4.0,0.011792659759521484,2.4323129653930664,,
108,683.61,0.0,0.0002,0.0,0.0,1.0,4.0,0.012003183364868164,2.424742579460144,,
109,693.88,0.0,0.0002,0.0,0.0,1.0,66.0,3.7428131103515625,4.4067806005477905,,
110,695.38,0.0,0.0002,0.0,0.0,1.0,4.0,0.010357379913330078,2.469558835029602,31.40471649169922,
111,705.17,0.0,0.0002,0.0,0.0,1.0,61.5,3.8552637100219727,4.6867125034332275,,
112,706.64,0.0,0.0002,0.0,0.0,1.0,4.0,0.012482404708862305,2.503894805908203,,
113,708.12,0.0,0.0002,0.0,0.0,1.0,4.0,0.012576818466186523,2.5445432662963867,,
114,709.59,0.0,0.0002,0.0,0.0,1.0,4.0,0.01009678840637207,2.488032579421997,,
115,711.07,0.0,0.0002,0.0,0.0,1.0,4.0,0.00921487808227539,2.4547914266586304,31.40919303894043,
116,712.54,0.0,0.0002,0.0,0.0,1.0,4.0,0.013907909393310547,2.3915224075317383,,
117,714.0,0.0,0.0002,0.0,0.0,1.0,4.0,0.009292125701904297,2.4242254495620728,,
118,718.57,0.0,0.0002,0.0,0.0,1.0,26.5,4.252175807952881,5.343617677688599,,
119,720.48,0.0,0.0002,0.0,0.0,1.0,7.0,1.9446580410003662,5.177411198616028,,
120,721.97,0.0,0.0002,0.0,0.0,1.0,4.0,0.012437820434570312,2.5222184658050537,31.41471290588379,0.0
