step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
124,429.91,0.0196,0.0002,2.875,0.3535533845424652,0.5,25.25,0.1844998076558113,0.4896519333124161,,
125,439.77,0.0178,0.0002,2.96875,0.0883883461356163,0.5,30.8125,0.18703477084636688,0.4439672380685806,28.635929107666016,
126,443.77,0.0196,0.0002,3.0,0.0,1.0,26.0,0.23132707923650742,0.4887584000825882,,
127,447.7,0.0266,0.0002,2.0,0.0,1.0,24.125,0.3446642830967903,0.6652742028236389,,
128,451.93,0.0183,0.0002,3.0,0.0,1.0,24.9375,0.19960643351078033,0.45870542526245117,,
129,456.12,0.0223,0.0002,2.25,0.8711025416851044,0.0,25.0,0.2611612007021904,0.5571227669715881,,
130,460.11,0.0172,0.0002,3.0,0.0,1.0,25.125,0.16034319251775742,0.4291623383760452,28.694833755493164,
131,464.16,0.0201,0.0002,1.875,1.0520716309547424,0.0,24.25,0.22775551676750183,0.5021654367446899,,
132,468.07,0.021,0.0002,2.75,0.4629100561141968,0.5,24.0,0.3150253891944885,0.5250917077064514,,
133,473.39,0.0284,0.0002,2.125,0.3535533845424652,0.5,26.875,0.3060819134116173,0.7101558595895767,,
134,477.56,0.0266,0.0002,2.0,0.0,1.0,25.125,0.20959797501564026,0.6656019389629364,,
135,481.63,0.0235,0.0002,3.0,0.0,1.0,25.0,0.16306692361831665,0.586917906999588,28.754642486572266,
136,485.66,0.0213,0.0002,2.5,0.5345224738121033,0.5,24.3125,0.17246346175670624,0.5317377746105194,,
137,490.4,0.0215,0.0002,3.0,0.0,1.0,26.125,0.21115462481975555,0.5377850532531738,,
138,494.97,0.0264,0.0002,2.0,0.0,1.0,25.4375,0.270599901676178,0.6601240932941437,,
139,498.98,0.0284,0.0002,2.75,0.4629100561141968,0.5,25.5,0.32598745077848434,0.7108995914459229,,
140,503.19,0.0254,0.0002,2.875,0.3535533845424652,0.5,27.0,0.31838224828243256,0.6354608833789825,28.739063262939453,0.921875
